Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGinnis Hills,27A-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Depth,Block Height,Bit Depth,ROP (1 ft),ROP (1 min),WOB,Temp In,Temp Out,Air Temp Out,Pit Total,CO2 Returns,H2S Pits,Pump Press,Rotary Amps,Rotary Torq,Rotary Speed,Bit Speed,Hookload,Pump 1 SPM,Pump 2 SPM,Pump 3 SPM,MSE (1 ft.),MSE (1 min.),Total Gas,Gain/Loss,Flow In,Flow Out,Pressure Out,Well Head Pr,Ambient Temp,H2S Floor,O2 Floor,CO2 Floor,LEL Floor,H2S Cellar,O2 Cellar,CO2 Cellar,LEL Cellar,H2S Derrick,O2 Derrick,CO Derrick,LEL Derrick,O2 Pits,CO2 Pits,LEL Pits,Pit 1,Pit 2,Pit 3,Pit 4,Pit 5,Pit 6,Pit 7,James Tube,Gas Sys Pr,SEGEP Flow,Rate,Pressure,Density,Volume,Gas Rate,Gas Volume,Wellhead Pr,Backside Pr.,Foamer Rate,Foamer Vol.,AdditiveRate,Additive Vol,Return Rate,C Line Press,C Temp,105,Baseline DP,Motor DP,Motor RPM,Fraction DP,Motor Torq
3/25/2014,18:20:50,2348.42,11,2348.42,0,1.9,0,57.61,65.09,0.01,612.03,294.45,-0.17,542.38,169.15,2294.91,83.87,83.87,116.47,68.19,0,0,0,324.59,0,-44.04,454.39,3.69,0.17,-0.54,0,-0.16,-0.05,-9999,-3.25,-0.07,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.75,91.64,144.71,-25.79,80.85,64.84,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:51,2348.42,11,2348.42,0,1.88,0,57.65,65.02,0.01,611.78,294.45,-0.18,542.07,162.15,2177.99,83.81,83.81,116.62,68.23,0,0,0,310.89,0,-44.74,454.62,3.69,0.17,-0.54,0,-0.07,-0.05,-9999,-3.25,-0.04,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.81,91.52,144.49,-25.79,80.88,64.83,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:52,2348.42,11,2348.42,0,1.86,0,57.61,65.02,0.01,611.67,293.55,-0.16,541.77,172.79,2356.27,83.74,83.74,116.84,68.19,0,0,0,339.44,0,-44.98,454.39,3.69,0.13,-0.54,0,-0.09,-0.05,-9999,-3.25,-0.06,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.82,91.68,144.34,-25.8,80.77,64.82,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:53,2348.42,11,2348.42,0,1.84,0,57.65,64.94,0.01,611.41,293.55,-0.16,541.77,161.88,2173.47,83.79,83.79,117.07,68.16,0,0,0,316.39,0,-45.09,454.15,3.69,0.13,-0.54,0,-0.06,-0.05,-9999,-3.25,-0.02,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.8,91.64,144.06,-25.79,80.87,64.78,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:54,2348.42,11,2348.42,0,1.82,0,57.68,64.94,0.01,611.32,294,-0.13,541.46,173.97,2376.31,83.64,83.64,117.3,68.16,0,0,0,348.75,0,-45.36,454.15,3.69,0.09,-0.92,0,-0.12,-0.05,-9999,-3.25,0.05,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.8,91.64,144,-25.79,80.91,64.73,-11.86,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:55,2348.44,10.98,2348.44,0,3.74,0,57.61,64.9,0.01,611.59,294,-0.16,541.46,162.15,2177.99,83.76,83.76,116.77,68.12,0,0,0,156.05,0,-45.45,453.91,3.69,0.13,-0.54,0,-0.13,-0.05,-9999,-3.25,0.03,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,75,91.58,143.98,-25.79,80.93,64.86,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:56,2348.44,10.98,2348.44,0,3.7,0,57.65,64.86,0.01,611.99,293.1,-0.13,541.15,169.61,2302.55,83.68,83.68,116.92,68.16,0,0,0,166.45,0,-45.17,454.15,3.69,0.13,-0.54,0,-0.08,-0.05,-9999,-3.25,-0.02,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.97,91.53,144.41,-25.79,80.93,64.9,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:57,2348.44,10.98,2348.44,0,3.67,0,57.65,64.83,0.01,612.27,294.9,-0.16,540.85,160.79,2155.4,84,84,116.62,68.19,0,0,0,157.97,0,-44.78,454.39,3.69,0.13,-0.54,0,-0.14,-0.05,-9999,-3.25,0.01,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,74.99,91.42,144.48,-25.79,81.09,65.05,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:58,2348.44,10.98,2348.44,0,3.63,0,57.65,64.79,0.01,612.25,293.55,-0.18,540.55,170.7,2320.93,83.68,83.68,116.77,68.19,0,0,0,171.14,0,-44.49,454.39,3.69,0.13,-0.54,0,0.01,-0.05,-9999,-3.25,0,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,75.14,91.45,144.34,-25.79,81.06,65.01,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
3/25/2014,18:20:59,2348.44,10.98,2348.44,0,3.59,0,57.65,64.75,0.01,611.76,294,-0.16,540.55,162.34,2181.01,84.02,84.02,116.92,68.16,0,0,0,163.1,0,-44.52,454.15,3.69,0.17,-0.54,0,-0.06,-0.05,-9999,-3.25,-0.07,0,-9999,-0.05,0,0,0,0,0,-9999,7.36,181.04,75.07,91.3,144.15,-25.79,80.93,65.07,-11.85,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1800,-9999,-9999,0,-9999
